,title_book,author_book,year_book,title_film,year_film
1,The 25th Hour,David Benioff,2001,25th Hour,2002
2,3 Assassins,Kōtarō Isaka,2004,Grasshopper,2015
3,4.50 from Paddington,Agatha Christie,1957,"Murder, She Said",1961
4,4.50 from Paddington,Agatha Christie,1957,Crime Is Our Business,2008
5,58 Minutes,Walter Wager,1987,Die Hard 2,1990
6,69,Ryu Murakami,1987,69,2004
8,The A.B.C. Murders,Agatha Christie,1936,The Alphabet Murders,1966
9,À ton image,Louise L. Lambrichs,1998,À ton image,2004
10,About a Boy,Nick Hornby,1998,About a Boy,2002
11,About Schmidt,Louis Begley,1996,About Schmidt,2002
12,Absolute Power,David Baldacci,1996,Absolute Power,1997
13,The Accidental Tourist,Anne Tyler,1985,The Accidental Tourist,1988
14,Across 110th, Wally Ferris,1970,Across 110th Street,1972
15,Adam Resurrected,Yoram Kaniuk,1969,Adam Resurrected,2009
16,Adams Fall, Sean Desmond,2000,Abandon,2002
17,Addie Pray,Joe David Brown,1971,Paper Moon,1973
18,Adiliya by the River, Jin Renshun,1999,Green Tea,2003
19,Adolphe,Benjamin Constant,1816,Adolphe,2002
20,Adventure,Jack London,1911,Adventure,1925
21,The Adventurers,Harold Robbins,1966,The Adventurers,1970
22,The Adventures of Captain Alatriste,Arturo Pérez-Reverte,,Alatriste,2006
23,The Adventures of Captain Hatteras,Jules Verne,1866,The Conquest of the Pole,1912
24,The Adventures of Hajji Baba of Ispahan,James Justinian Morier,1824,The Adventures of Hajji Baba,1954
25,Adventures of Huckleberry Finn,Mark Twain,1884,Huckleberry Finn,1920
26,Adventures of Huckleberry Finn,Mark Twain,1884,Huckleberry Finn,1931
27,Adventures of Huckleberry Finn,Mark Twain,1884,Huck Finn,1937
28,Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huckleberry Finn,1939
29,Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huckleberry Finn,1955
30,Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huckleberry Finn,1960
31,Adventures of Huckleberry Finn,Mark Twain,1884,Huckleberry Finn,1974
32,Adventures of Huckleberry Finn,Mark Twain,1884,Hopelessly Lost,1972
33,Adventures of Huckleberry Finn,Mark Twain,1884,Huckleberry Finn,1975
34,Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huckleberry Finn,1981
35,Adventures of Huckleberry Finn,Mark Twain,1884,Adventures of Huckleberry Finn,1985
36,Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huck Finn,1993
37,Adventures of Huckleberry Finn,Mark Twain,1884,Tom and Huck,1995
38,The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1911
39,The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1936
40,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1940
41,The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1947
42,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1957
43,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio in Outer Space,1965
44,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1967
45,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1968
46,The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1972
47,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1976
48,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio's Christmas,1980
49,The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1984
50,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio and the Emperor of the Night,1987
51,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1993
52,The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1996
53,The Adventures of Pinocchio,Carlo Collodi,1883,The New Adventures of Pinocchio,1999
54,The Adventures of Pinocchio,Carlo Collodi,1883,"Pinocchio, ovvero lo spettacolo della Provvidenza",1999
55,The Adventures of Pinocchio,Carlo Collodi,1883,Geppetto,2000
56,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,2002
57,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio 3000,2004
58,The Adventures of Pinocchio,Carlo Collodi,1883,Welcome Back Pinocchio,2007
59,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,2008
60,The Adventures of Pinocchio,Carlo Collodi,1883,Pistachio – The Little Boy That Woodn't,2010
61,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,2012
62,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,2019
63,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio: A True Story,2022
64,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,2022
65,The Adventures of Pinocchio,Carlo Collodi,1883,Guillermo del Toro's Pinocchio,2022
66,The Adventures of Sherlock Holmes,Arthur Conan Doyle,,Sherlock Holmes,1916
67,The Adventures of Sherlock Holmes,Arthur Conan Doyle,,Sherlock Holmes,1922
68,The Adventures of Sherlock Holmes,Arthur Conan Doyle,,The Speckled Band,1931
69,The Adventures of Sherlock Holmes,Arthur Conan Doyle,,The Adventures of Sherlock Holmes,1939
70,The Adventures of Sherlock Holmes,Arthur Conan Doyle,,The House of Fear,1945
71,The Adventures of Sherlock Holmes,Arthur Conan Doyle,,The Blue Carbuncle,1980
72,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1917
73,The Adventures of Tom Sawyer,Mark Twain,1876,Huck and Tom,1918
74,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1930
75,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1936
76,The Adventures of Tom Sawyer,Mark Twain,1876,The Adventures of Tom Sawyer,1938
77,The Adventures of Tom Sawyer,Mark Twain,1876,"Tom Sawyer, Detective",1938
78,The Adventures of Tom Sawyer,Mark Twain,1876,The Adventures of Mark Twain,1944
79,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1973
80,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1973
81,The Adventures of Tom Sawyer,Mark Twain,1876,Páni kluci,1976
82,The Adventures of Tom Sawyer,Mark Twain,1876,Rascals and Robbers: The Secret Adventures of Tom Sawyer and Huckleberry Finn,1982
83,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1984
84,The Adventures of Tom Sawyer,Mark Twain,1876,The Adventures of Mark Twain,1986
85,The Adventures of Tom Sawyer,Mark Twain,1876,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1990
86,The Adventures of Tom Sawyer,Mark Twain,1876,Tom and Huck,1995
87,The Adventures of Tom Sawyer,Mark Twain,1876,The Animated Adventures of Tom Sawyer,1998
88,The Adventures of Tom Sawyer,Mark Twain,1876,The Modern Adventures of Tom Sawyer,1998
89,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,2000
90,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer & Huckleberry Finn,2014
91,The Adventures of Tom Sawyer,Mark Twain,1876,Band of Robbers,2015
92,Advise and Consent,Allen Drury,1959,Advise & Consent,1962
93,Aelita,Alexei Tolstoy,1923,Aelita,1924
94,The African Queen,C. S. Forester,1935,The African Queen,1951
95,After,Anna Todd,2017,After,2019
96,"After Dark, My Sweet",Jim Thompson,1955,"After Dark, My Sweet",1990
97,After Hours,Edwin Torres,1979,Carlito's Way,1993
98,After the Funeral,Agatha Christie,1953,Murder at the Gallop,1963
99,The Age of Innocence,Edith Wharton,1921,The Age of Innocence,1924
100,The Age of Innocence,Edith Wharton,1921,The Age of Innocence,1928
101,The Age of Innocence,Edith Wharton,1921,The Age of Innocence,1934
102,The Age of Innocence,Edith Wharton,1921,The Age of Innocence,1993
103,The Agony and the Ecstasy,Irving Stone,1961,The Agony and the Ecstasy,1965
104,Aimez-vous Brahms?,Françoise Sagan,1959,Goodbye Again,1961
105,Aimez-vous Brahms?,Françoise Sagan,1959,Jahan Tum Le Chalo,1999
106,Airborn,Kenneth Oppel,2004,Airborn,2012
107,Airport,Arthur Hailey,1968,Airport,1970
108,Airport,Arthur Hailey,1968,Airport 1975,1975
109,Airport,Arthur Hailey,1968,Airport '77,1977
110,Airport,Arthur Hailey,1968,The Concorde ... Airport '79,1979
111,Alice Adams,Booth Tarkington,1921,Alice Adams,1923
112,Alice Adams,Booth Tarkington,1921,Alice Adams,1935
113,Allan Quatermain, Sir H. Rider Haggard,1887,Allan Quatermain and the Lost City of Gold,1987
114,All Fall Down,James Leo Herlihy,1960,All Fall Down,1962
115,All Men Are Mortal,Simone de Beauvoir,1946,All Men Are Mortal,1995
116,All the Brothers Were Valiant,Ben Ames Williams,1919,All the Brothers Were Valiant,1923
117,All the Brothers Were Valiant,Ben Ames Williams,1919,Across to Singapore,1928
118,All the Brothers Were Valiant,Ben Ames Williams,1919,All the Brothers Were Valiant,1953
119,All the King's Men,Robert Penn Warren,1946,All the King's Men,1949
120,All the King's Men,Robert Penn Warren,1946,All the King's Men,2006
121,All Quiet on the Western Front,Erich Maria Remarque,1929,All Quiet on the Western Front,1930
122,All Quiet on the Western Front,Erich Maria Remarque,1929,The Road Back,1937
123,All Quiet on the Western Front,Erich Maria Remarque,1929,All Quiet on the Western Front,1979
124,All Quiet on the Western Front,Erich Maria Remarque,1929,All Quiet on the Western Front,2022
125,All She Was Worth,Miyuki Miyabe,1992,Kasha: Kâdo hasan no onna!,1994
126,All She Was Worth,Miyuki Miyabe,1992,Helpless,2012
127,All the Pretty Horses,Cormac McCarthy,1992,All the Pretty Horses,2000
128,All the Way, Andy Behrens,2001,Sex Drive,2008
129,All You Need Is Kill,Hiroshi Sakurazaka,2009,Edge of Tomorrow,2014
130,Almayer's Folly,Joseph Conrad,1895,Hanyut,2011
131,Almayer's Folly,Joseph Conrad,1895,Almayer's Folly,2011
132,Almost Transparent Blue,Ryū Murakami,1976,Almost Transparent Blue,1979
133,Along Came a Spider,James Patterson,1993,Along Came a Spider,2001
134,Altered States,Paddy Chayefsky,1978,Altered States,1980
135,Always Another Dawn,Zelma Roberts,1948,Always Another Dawn,1948
136,"Always Outnumbered, Always Outgunned",Walter Mosley,1987,Always Outnumbered,1998
137,The Alzheimer Case,Jef Geeraerts,2000,The Alzheimer Case,2003
138,The Alzheimer Case,Jef Geeraerts,2000,Memory,2022
139,The Amateur,Mauricio Dayub,1990,The Amateur,1999
140,An American Dream,Norman Mailer,1965,An American Dream,1966
141,American Knees,Shawn Wong,1995,Americanese,2006
142,American Psycho,Bret Easton Ellis,1991,American Psycho,2000
143,American Psycho,Bret Easton Ellis,1991,American Psycho 2: All-American Girl,2002
144,American Splendor,Harvey Pekar,,American Splendor,2003
145,An American Tragedy,Theodore Dreiser,1925,A Place in the Sun,1951
146,The Americanization of Emily,William Bradford Huie,1959,The Americanization of Emily,1964
147,Amerika,Franz Kafka,1927,Klassenverhältnisse,1984
148,Amerika,Franz Kafka,1927,Intervista,1987
149,Amerika,Franz Kafka,1927,Amerika,1994
150,Les amitiés particulières,Roger Peyrefitte,1943,Les amitiés particulières,1964
151,The Amityville Horror,Jay Anson,1977,The Amityville Horror,1979
152,The Amityville Horror,Jay Anson,1977,The Amityville Horror,2005
153,Amos Judd,John Ames Mitchell,1895,The Young Rajah,1922
154,Amu,Shonali Bose,2005,Amu,2005
155,Anatomy of a Murder,John D. Voelker[N 5],1958,Anatomy of a Murder,1959
156,An Ancient Tale: A Novel in Polish History,Józef Ignacy Kraszewski,1876,An Ancient Tale: When the Sun Was a God,2003
157,And Now Tomorrow,Rachel Field,1942,And Now Tomorrow,1944
158,And Then There Were None,Agatha Christie,1939,And Then There Were None,1945
159,And Then There Were None,Agatha Christie,1939,Ten Little Indians,1959
160,And Then There Were None,Agatha Christie,1939,Gumnaam,1965
161,And Then There Were None,Agatha Christie,1939,Ten Little Indians,1965
162,And Then There Were None,Agatha Christie,1939,Zehn kleine Negerlein,1969
163,And Then There Were None,Agatha Christie,1939,And Then There Were None,1974
164,And Then There Were None,Agatha Christie,1939,Desyat Negrityat,1987
165,And Then There Were None,Agatha Christie,1939,Ten Little Indians,1989
166,And Then There Were None,Agatha Christie,1939,Identity,2003
167,The Anderson Tapes,Lawrence Sanders,1969,The Anderson Tapes,1971
168,Andromeda: A Space-Age Tale,Ivan Yefremov,1957,The Andromeda Nebula,1967
169,The Andromeda Strain,Michael Crichton,1969,The Andromeda Strain,1971
170,Angel,Elizabeth Taylor,1957,Angel,2007
171,Angel Square,Brian Doyle,1987,Angel Square,1990
172,Angélique,Anne GolonandSerge Golon,,"Angélique, Marquise des Anges",1964
173,Angélique,Anne GolonandSerge Golon,,Marvelous Angelique,1965
174,Angélique,Anne GolonandSerge Golon,,Angelique and the King,1966
175,Angélique,Anne GolonandSerge Golon,,Untamable Angelique,1967
176,Angélique,Anne GolonandSerge Golon,,Angelique and the Sultan,1968
177,Angels & Demons,Dan Brown,2000,Angels & Demons,2009
178,Anglo-Saxon Attitudes,Angus Wilson,1956,Anglo-Saxon Attitudes,1992
179,The Angry Hills,Leon Uris,1955,The Angry Hills,1959
180,Anime Supremacy!,Mizuki Tsujimura,2014,Anime Supremacy!,2022
181,Anna and the King of Siam,Margaret Landon,1944,Anna and the King of Siam,1946
182,Anna and the King of Siam,Margaret Landon,1944,The King and I,1956
183,Anna and the King of Siam,Margaret Landon,1944,The King and I,1999
184,Anna and the King of Siam,Margaret Landon,1944,Anna and the King,1999
185,Anna Karenina,Leo Tolstoy,,Anna Karenina,1914
186,Anna Karenina,Leo Tolstoy,,Anna Karenina,1915
187,Anna Karenina,Leo Tolstoy,,Love,1927
188,Anna Karenina,Leo Tolstoy,,Anna Karenina,1935
189,Anna Karenina,Leo Tolstoy,,Anna Karenina,1948
190,Anna Karenina,Leo Tolstoy,,The River of Love,1960
191,Anna Karenina,Leo Tolstoy,,Anna Karenina,1967
192,Anna Karenina,Leo Tolstoy,,Anna Karenina,1974
193,Anna Karenina,Leo Tolstoy,,Anna Karenina,1985
194,Anna Karenina,Leo Tolstoy,,Anna Karenina,1997
195,Anna Karenina,Leo Tolstoy,,Anna Karenina,2005
196,Anna Karenina,Leo Tolstoy,,Anna Karenina,2012
197,Anna to the Infinite Power,Mildred Ames,1979,Anna to the Infinite Power,1983
198,Anne of Avonlea,Lucy Maud Montgomery,1909,same as below,
199,Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Green Gables,1919
200,Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Green Gables,1934
201,Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Windy Poplars,1940
202,Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Green Gables,1956
203,Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Green Gables,1985
204,Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Avonlea,1987
205,Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Green Gables: The Continuing Story,2000
206,Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Green Gables: A New Beginning,2009
207,Anne of Windy Poplars,Lucy Maud Montgomery,1936,same as above,
208,Annihilation,Jeff VanderMeer,2014,Annihilation,2018
209,The Anointed,Clyde Brion Davis,1937,Adventure,1945
210,Another,Yukito Ayatsuji,2009,Another,2012
211,Anthony Adverse,Hervey Allen,1933,Anthony Adverse,1936
212,Antikiller,Daniil Koretsky,1999,Antikiller,2002
213,Antonieta,Andrés Henestrosa,1978,Antonieta,1982
214,Apache Rising,Marvin H. Albert,1957,Duel at Diablo,1966
215,The Apocalypse Watch,Robert Ludlum,1995,The Apocalypse Watch,1997
216,The Apple Dumpling Gang,Jack Bickham,1971,The Apple Dumpling Gang,1975
217,The Apple Dumpling Gang,Jack Bickham,1971,The Apple Dumpling Gang Rides Again,1979
218,The Apple Dumpling Gang,Jack Bickham,1971,Tales from the Apple Dumpling Gang,1982
219,Appointment with Death,Agatha Christie,1938,Appointment with Death,1988
220,Appointment with Venus,Jerrard Tickell,1951,Appointment with Venus,1951
221,The Apprenticeship of Duddy Kravitz,Mordecai Richler,1959,The Apprenticeship of Duddy Kravitz,1974
222,The Army of Shadows,Joseph Kessel,1943,Army of Shadows,1969
223,Around the World in Eighty Days,Jules Verne,1873,Die Jagd nach der Hundertpfundnote oder Die Reise um die Welt,1913
224,Around the World in Eighty Days,Jules Verne,1873,'Round the World in 80 Days,1914
225,Around the World in Eighty Days,Jules Verne,1873,Around the World in Eighty Days,1919
226,Around the World in Eighty Days,Jules Verne,1873,Around the World in 80 Days,1956
227,Around the World in Eighty Days,Jules Verne,1873,The Three Stooges Go Around the World in a Daze,1963
228,Around the World in Eighty Days,Jules Verne,1873,Around the World in Eighty Days,
229,Around the World in Eighty Days,Jules Verne,1873,Around the World in Eighty Days,
230,Around the World in Eighty Days,Jules Verne,1873,Around the World in 80 Ways,1988
231,Around the World in Eighty Days,Jules Verne,1873,Around the World in 80 Days,1988
232,Around the World in Eighty Days,Jules Verne,1873,Around the World in 80 Days,1998
233,Around the World in Eighty Days,Jules Verne,1873,Tweety's High-Flying Adventure,2000
234,Around the World in Eighty Days,Jules Verne,1873,Globehunters: An Around the World in 80 Days Adventure,2002
235,Around the World in Eighty Days,Jules Verne,1873,Around the World in 80 Days,2004
236,Around the World in Eighty Days,Jules Verne,1873,Around the World in 80 Days,2021
237,Arouse and Beware,MacKinlay Kantor,1936,The Man from Dakota,1940
238,Arrowsmith,Sinclair Lewis,1925,Arrowsmith,1931
239,Ashes and Diamonds,Jerzy Andrzejewski,1948,Ashes and Diamonds,1958
240,Ask the Dust,John Fante,1939,Ask the Dust,2006
241,Asking for Trouble,Elizabeth Young,2001,The Wedding Date,2005
242,The Asphalt Jungle,W. R. Burnett,1949,The Asphalt Jungle,1950
243,The Asphalt Jungle,W. R. Burnett,1949,The Badlanders,1959
244,"The Assassination Bureau, Ltd",Jack London,1963,The Assassination Bureau,1969
245,The Assassination of Jesse James by the Coward Robert Ford,Ron Hansen,1983,The Assassination of Jesse James by the Coward Robert Ford,2007
246,The Assault,Harry Mulisch,1982,The Assault,1986
247,L'Assommoir,Émile Zola,1877,Gervaise,1956
248,The Astronauts,Stanisław Lem,1951,First Spaceship on Venus,1960
249,Asylum,Patrick McGrath,1996,Asylum,2005
250,At Play in the Fields of the Lord,Peter Matthiessen,1965,At Play in the Fields of the Lord,1991
251,At the Earth's Core,Edgar Rice Burroughs,,At the Earth's Core,1976
252,At the Étoile du Nord,Georges Simenon,1854,L'Etoile du Nord,1982
253,Atlantis,Gerhart Hauptmann,1912,Atlantis,1913
254,Atomised,Michel Houellebecq,1998,The Elementary Particles,2006
255,Atomised,Michel Houellebecq,1998,The Elementary Particles,2021
256,Atonement,Ian McEwan,2001,Atonement,2007
257,Audrey Rose,Frank De Felitta,1975,Audrey Rose,1977
258,The Auction Block,Rex Beach,1914,The Auction Block,1917
259,The Auction Block,Rex Beach,1914,The Auction Block,1926
260,Audition,Ryu Murakami,1997,Audition,1999
261,Auntie Mame,Patrick Dennis,1955,Auntie Mame,1958
262,Avalon High,Meg Cabot,2005,Avalon High,2010
263,The Aviator,Ernest K. Gann,1981,The Aviator,1985
264,Away All Boats, Kenneth M. Dodson,1953,Away All Boats,1956
265,An Awfully Big Adventure,Beryl Bainbridge,1989,An Awfully Big Adventure,1995
266,The Ax,Donald E. Westlake,1997,The Axe,2005
268,Baby Love, Tina Chad Christian,1968,Baby Love,1968
269,Babylon Babies,Maurice Georges Dantec,1999,Babylon A.D.,2008
270,Back Street,Fannie Hurst,1931,Back Street,1932
271,Back Street,Fannie Hurst,1931,Back Street,1941
272,Back Street,Fannie Hurst,1931,Back Street,1961
273,Back When We Were Grownups,Anne Tyler,2001,Back When We Were Grownups,2004
274,Background to Danger,Eric Ambler,1937,Background to Danger,1943
275,Bad Girl,Viña Delmar,1928,Bad Girl,1931
276,The Bad Seed,William March,1954,The Bad Seed,1956
277,The Bad Seed,William March,1954,The Bad Seed,1985
278,The Bad Seed,William March,1954,The Bad Seed,2018
279,Baise-moi,Virginie Despentes,1993,Baise-moi,2000
280,The Bait,Dorothy Uhnak,1968,The Bait,1973
281,The Ballad of Cat Ballou, Roy Chanslor,1956,Cat Ballou,1965
282,The Ballad of the Flim-Flam Man,Guy Owen,1965,The Flim-Flam Man,1967
283,The Ballad of the Flim-Flam Man,Guy Owen,1965,The Flim-Flam Man,1969
284,The Ballad of the Running Man, Shelley Smith,1961,The Running Man,1963
285,Balzac and the Little Chinese Seamstress,Dai Sijie,2000,Balzac and the Little Chinese Seamstress,2002
286,Band of Angels,Robert Penn Warren,1955,Band of Angels,1957
287,The Bandits of Bombay,Satyajit Ray,1976,Bombaiyer Bombete,2003
288,Bank Shot,Donald E. Westlake,1972,Bank Shot,1974
289,Banner in the Sky,James Ramsey Ullman,1900,Third Man on the Mountain,1959
290,The Barefoot Mailman,Theodore Pratt,1943,The Barefoot Mailman,1951
291,Basil of Baker Street,Eve Titus,1958,The Great Mouse Detective,1986
292,Bastard Out of Carolina,Dorothy Allison,1992,Bastard Out of Carolina,1996
293,Battle Cry,Leon Uris,1953,Battle Cry,1955
294,The Battle of the Villa Fiorita,Rumer Godden,1963,The Battle of the Villa Fiorita,1965
295,Battle Royale,Koushun Takami,1999,Battle Royale,2000
296,Battle Royale,Koushun Takami,1999,Battle Royale II: Requiem,2003
297,Battlefield Earth,L. Ron Hubbard,1982,Battlefield Earth,2000
298,Be Cool,Elmore Leonard,1999,Be Cool,2005
299,Be Ready with Bells and Drums,Elizabeth Kata,1961,A Patch of Blue,1965
300,"Be Still, My Love", June Truesdell,1947,The Accused,1949
301,The Beach,Alex Garland,1996,The Beach,2000
302,Beaches,Iris Rainer Dart,1985,Beaches,1988
303,The Beardless Warriors,Richard Matheson,1960,The Young Warriors,1967
304,Beast,Peter Benchley,1991,The Beast,1996
305,The Beast in Man,Émile Zola,1890,Die Bestie im Menschen,1921
306,The Beast in Man,Émile Zola,1890,La Bête Humaine,1938
307,The Beast in Man,Émile Zola,1890,Human Desire,1954
308,The Beast in Man,Émile Zola,1890,La Bestia humana,1954
309,The Beast in Man,Émile Zola,1890,Cruel Train,1995
310,The Beast in the Heart,Cristina Comencini,2003,Don't Tell,2005
311,The Beast Master,Andre Norton,1959,The Beastmaster,1982
312,The Beast Master,Andre Norton,1959,Beastmaster 2: Through the Portal of Time,1991
313,The Beast Master,Andre Norton,1959,Beastmaster III: The Eye of Braxus,1996
314,The Beast Must Die,Cecil Day-Lewis[N 6],1938,The Beast Must Die,1952
315,The Beast Must Die,Cecil Day-Lewis[N 6],1938,This Man Must Die,1969
316,The Beast Within,Edward Levy,1981,The Beast Within,1982
317,Beat the Devil,Claud Cockburn[N 7],1951,Beat the Devil,1953
318,Beau Brocade,Baroness Emmuska Orczy,1907,Beau Brocade,1916
319,Beau Geste,P. C. Wren,1924,Beau Geste,1926
320,Beau Geste,P. C. Wren,1924,Beau Sabreur,1928
321,Beau Geste,P. C. Wren,1924,Beau Ideal,1931
322,Beau Geste,P. C. Wren,1924,Beau Geste,1939
323,Beau Geste,P. C. Wren,1924,Beau Geste,1966
324,Beau Geste,P. C. Wren,1924,The Last Remake of Beau Geste,1977
325,Beau Ideal,P. C. Wren,1927,same as above,
326,Beau Ideal,P. C. Wren,1927,Beau Sabreur,1926
327,Beautiful Creatures, Kami Garcia and Margaret Stohl,2009,Beautiful Creatures,2013
328,Bedelia,Vera Caspary,1945,Bedelia,1946
329,Bee Season,Myla Goldberg,2000,Bee Season,2005
330,Beer and Blood: The Story of a Couple o' Wrong Guys,John BrightandKubec Glasmon,1930,The Public Enemy,1931
331,Before the Fact,Anthony Berkeley Cox[N 8],1932,Suspicion,1941
332,The Beginning and the End,Naguib Mahfouz,1960,Bidaya wa Nihaya,1960
333,Behind That Curtain,Earl Derr Biggers,1928,Behind That Curtain,1929
334,Being There,Jerzy Kosinski,1971,Being There,1979
335,Bel-Ami,Guy de Maupassant,1885,Bel Ami,1939
336,Bel-Ami,Guy de Maupassant,1885,The Private Affairs of Bel Ami,1947
337,Bel-Ami,Guy de Maupassant,1885,Bel Ami,2005
338,Bel-Ami,Guy de Maupassant,1885,Bel Ami,2012
339,Belle de Jour,Joseph Kessel,1928,Belle de Jour,1967
340,Belli Moda,Anasuya Shankar[N 9],1961,Belli Moda,1967
341,Belli Moda,Anasuya Shankar[N 9],1961,Swapnabhoomi,1967
342,Bellman and True, Desmond Lowden,1975,Bellman and True,1987
343,Beloved,Toni Morrison,1987,Beloved,1998
344,Belphégor,Arthur Bernède,1927,Belphégor - Le fantôme du Louvre,2001
345,Ben-Hur: A Tale of the Christ,Lew Wallace,1880,Ben-Hur,1925
346,Ben-Hur: A Tale of the Christ,Lew Wallace,1880,Ben-Hur,1959
347,Ben-Hur: A Tale of the Christ,Lew Wallace,1880,Ben Hur,2003
348,Ben-Hur: A Tale of the Christ,Lew Wallace,1880,Ben-Hur,2016
349,Benjamin Blake,Edison Marshall,1941,Son of Fury: The Story of Benjamin Blake,1942
350,Benjamin Blake,Edison Marshall,1941,Treasure of the Golden Condor,1953
351,Beowulf,unknown,,Beowulf,1999
352,Beowulf,unknown,,Beowulf & Grendel,2005
353,Beowulf,unknown,,Beowulf,2007
354,Berlin Alexanderplatz,Alfred Döblin,1929,Berlin — Alexanderplatz,1931
355,Berlin Alexanderplatz,Alfred Döblin,1929,Berlin Alexanderplatz,2020
356,The Betsy,Harold Robbins,1971,The Betsy,1978
357,Beyond the Forest: The Story of a Man and Woman Destroyed by Love, Stuart D. Engstrand,1948,Beyond the Forest,1949
358,Beyond This Place,A. J. Cronin,1953,Sabar Uparey,1955
359,Beyond This Place,A. J. Cronin,1953,Kala Pani,1958
360,Beyond This Place,A. J. Cronin,1953,Beyond This Place,1959
361,Beyond This Place,A. J. Cronin,1953,Poola Rangadu,1967
362,Beyond This Place,A. J. Cronin,1953,En Annan,1970
363,The BFG,Roald Dahl,1982,The BFG,1989
364,The BFG,Roald Dahl,1982,The BFG,2016
